stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding
821508,6035,,SWORD ST + FRANKLIN ST,,42.22366,-71.83384,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=25&id=6035&showAllBusses=on,0,,America/New_York,,,0
821509,6040,,BOYCE ST + WOODLAND ST,,42.22708,-71.83516,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=25&id=6040&showAllBusses=on,0,,America/New_York,,,0
821510,1906,,HOPE AVE + ENTERING WORCESTER,,42.22879,-71.83523,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=25&id=1906&showAllBusses=on,0,,America/New_York,,,0
821511,1215,,HOPE AVE + TROWBRIDGE CIRCUIT,,42.232,-71.83149,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=25&id=1215&showAllBusses=on,0,,America/New_York,,,0
821512,476,,HOPE AVE + 7 HILLS,,42.23199,-71.82592,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=25&id=476&showAllBusses=on,0,,America/New_York,,,0
821513,475,,HOPE AVE + RR TRACKS,,42.23199,-71.82095,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=25&id=475&showAllBusses=on,0,,America/New_York,,,0
821514,1216,,HOPE AVE + SOUTHBRIDGE ST,,42.23169,-71.81925,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=25&id=1216&showAllBusses=on,0,,America/New_York,,,0
821515,1217,,982 SOUTHBRIDGE ST,,42.23296,-71.81841,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=29&id=1217&showAllBusses=on,0,,America/New_York,,,0
821516,961,,SOUTHBRIDGE ST + MALVERN RD,,42.2355347487685,-71.8165258439235,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=29&id=961&showAllBusses=on,0,,America/New_York,,,0
821517,962,,SOUTHBRIDGE ST + KENDIG ST,,42.2362691620049,-71.8157743450547,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=29&id=962&showAllBusses=on,0,,America/New_York,,,0
821518,963,,SOUTHBRIDGE ST + BOYDEN ST,,42.2371936972358,-71.8148330169977,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=29&id=963&showAllBusses=on,0,,America/New_York,,,0
821519,964,,SOUTHBRIDGE ST + COLLEGE OF THE HOLY CROSS,,42.23943,-71.81335,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=29&id=964&showAllBusses=on,0,,America/New_York,,,0
821520,965,,SOUTHBRIDGE ST + COLLEGE OF THE HOLY CROSS,,42.24177,-71.812,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=29&id=965&showAllBusses=on,0,,America/New_York,,,0
821521,1218,,4 MCKEON RD,,42.24345,-71.80928,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=25&id=1218&showAllBusses=on,0,,America/New_York,,,0
821522,113,,CAMBRIDGE ST + CHELSEA ST,,42.24366,-71.81217,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=25&id=113&showAllBusses=on,0,,America/New_York,,,0
821523,112,,CAMBRIDGE ST + WOODWARD ST,,42.24361,-71.81404,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=25&id=112&showAllBusses=on,0,,America/New_York,,,0
821524,111,,CAMBRIDGE ST + CAMP ST,,42.24361,-71.81675,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=25&id=111&showAllBusses=on,0,,America/New_York,,,0
821525,110,,CAMBRIDGE ST + CEMETERY,,42.24361,-71.81914,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=25&id=110&showAllBusses=on,0,,America/New_York,,,0
821526,109,,CAMBRIDGE ST + CANTERBURY ST,,42.24363,-71.82176,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=25&id=109&showAllBusses=on,0,,America/New_York,,,0
821527,121,,CANTERBURY ST + SOUTH CRYSTAL ST,,42.2441565685892,-71.8215809977548,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=25&id=121&showAllBusses=on,0,,America/New_York,,,0
821528,122,,CANTERBURY ST + WALPOLE ST,,42.2456170901135,-71.8193029286654,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=25&id=122&showAllBusses=on,0,,America/New_York,,,0
821529,123,,CANTERBURY ST + GRAND ST,,42.2472493496247,-71.8167325930108,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=25&id=123&showAllBusses=on,0,,America/New_York,,,0
821530,124,,CANTERBURY ST + GARDNER ST,,42.2485139628635,-71.8147130983374,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=25&id=124&showAllBusses=on,0,,America/New_York,,,0
821531,125,,47 CANTERBURY ST,,42.2493040816851,-71.8134646847512,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=25&id=125&showAllBusses=on,0,,America/New_York,,,0
