timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,timetable_label,service_notes,direction_label,orientation,timetable_page_id,timetable_sequence
2482,3691,,20180922,20200101,1,1,1,1,1,0,0,Downtown Loop,Monday-Friday,Loop,horizontal,40,1
2483,3873,1,20180922,20200101,1,1,1,1,1,0,0,Westborough Shuttle,Monday-Friday,Inbound,horizontal,West,2
2484,3870,1,20180922,20200101,1,1,1,1,1,0,0,Northbridge Walmart - Blackstone Valley Shoppes,Monday-Friday,Inbound,horizontal,A,2
2487,3687,0,20190126,20200101,0,0,0,0,0,1,0,Southwest Commons via Grafton St. ,Saturday only,Outbound,horizontal,5,2
2488,3687,0,20190126,20200101,0,0,0,0,0,0,1,Southwest Commons via Grafton St. ,Sunday only,Outbound,horizontal,5,3
2489,3688,0,20190126,20200101,1,1,1,1,1,0,0,West Tatnuck via Chandler St. ,Monday-Friday,Outbound,horizontal,6,1
2490,3688,0,20190126,20200101,0,0,0,0,0,1,0,West Tatnuck via Chandler St. ,Saturday only,Outbound,horizontal,6,2
2491,3676,0,20190126,20200101,1,1,1,1,1,0,0,Auburn Industrial Park via Canterbury & Southbridge St. ,Monday-Friday,Outbound,horizontal,25,1
2492,3676,0,20190126,20200101,0,0,0,0,0,1,0,Auburn Industrial Park via Canterbury & Southbridge St. ,Saturday only,Outbound,horizontal,25,2
2493,3676,0,20190126,20200101,0,0,0,0,0,0,1,Auburn Industrial Park via Canterbury & Southbridge St. ,Sunday only,Outbound,horizontal,25,3
2494,3678,0,20190126,20200101,1,1,1,1,1,0,0,Auburn Mall via Main St.,Monday-Friday,Outbound,horizontal,27,1
2495,3678,0,20190126,20200101,0,0,0,0,0,1,0,Auburn Mall via Main St.,Saturday only,Outbound,horizontal,27,2
2496,3678,0,20190126,20200101,0,0,0,0,0,0,1,Auburn Mall via Main St.,Sunday only,Outbound,horizontal,27,3
2498,3687,1,20190126,20200101,0,0,0,0,0,1,0,Southwest Commons via Grafton St. ,Saturday only,Inbound,horizontal,5,5
2499,3687,1,20190126,20200101,0,0,0,0,0,0,1,Southwest Commons via Grafton St. ,Sunday only,Inbound,horizontal,5,6
2500,3688,1,20190126,20200101,1,1,1,1,1,0,0,West Tatnuck via Chandler St. ,Monday-Friday,Inbound,horizontal,6,3
2508,3661,1,20180922,20200101,1,1,1,1,1,0,0,Mount St. Ann via Providence St.,Monday-Friday,Inbound,horizontal,1,4
2509,3661,0,20180922,20200101,1,1,1,1,1,0,0,Mount St. Ann via Providence St.,Monday-Friday,Outbound,horizontal,1,1
2510,3661,1,20180922,20200101,0,0,0,0,0,1,0,Mount St. Ann via Providence St.,Saturday only,Inbound,horizontal,1,5
2511,3661,0,20180922,20200101,0,0,0,0,0,1,0,Mount St. Ann via Providence St.,Saturday only,Outbound,horizontal,1,2
2512,3661,1,20180922,20200101,0,0,0,0,0,0,1,Mount St. Ann via Providence St.,Sunday only,Inbound,horizontal,1,6
2513,3661,0,20180922,20200101,0,0,0,0,0,0,1,Mount St. Ann via Providence St.,Sunday only,Outbound,horizontal,1,3
2514,3671,1,20180922,20200101,1,1,1,1,1,0,0,Tatnuck Square via Pleasant St.,Monday-Friday,Inbound,horizontal,2,4
2515,3671,0,20180922,20200101,0,0,0,0,0,1,0,Tatnuck Square via Pleasant St.,Saturday only,Outbound,horizontal,2,2
2516,3671,0,20180922,20200101,1,1,1,1,1,0,0,Tatnuck Square via Pleasant St.,Monday-Friday,Outbound,horizontal,2,1
2517,3671,1,20180922,20200101,0,0,0,0,0,1,0,Tatnuck Square via Pleasant St.,Saturday only,Inbound,horizontal,2,5
2518,3671,1,20180922,20200101,0,0,0,0,0,0,1,Tatnuck Square via Pleasant St.,Sunday only,Inbound,horizontal,2,6
2519,3671,0,20180922,20200101,0,0,0,0,0,0,1,Tatnuck Square via Pleasant St.,Sunday only,Outbound,horizontal,2,3
2520,3680,1,20180922,20200101,1,1,1,1,1,0,0,Worcester State University via Highland St.,Monday-Friday,Inbound,horizontal,3,3
2521,3680,0,20180922,20200101,1,1,1,1,1,0,0,Worcester State University via Highland St.,Monday-Friday,Outbound,horizontal,3,1
2522,3680,1,20180922,20200101,0,0,0,0,0,1,0,Worcester State University via Highland St.,Saturday only,Inbound,horizontal,3,4
2523,3680,0,20180922,20200101,0,0,0,0,0,1,0,Worcester State University via Highland St.,Saturday only,Outbound,horizontal,3,2
